name,rating,ctype,highly_rated,critically_rated
Fiserv,2.8,FinTech,"Promotions, Job Security, Company Culture",
Britannia,4.0,FMCG,"Job Security, Skill Development",Promotions
Landmark Group,3.8,Retail,Job Security,Promotions
Dalmia Bharat Cement,3.9,Building Material,"Job Security, Salary",Promotions
UnitedHealth,4.0,Healthcare,"Job Security, Work Life Balance, Company Culture","Promotions, Salary"
SRF,4.1,Chemicals,"Job Security, Skill Development, Salary",Promotions
Blue Dart Express Ltd,3.9,Logistics,"Job Security, Company Culture, Work Life Balance",Promotions
Kansai Nerolac Paints,3.8,Chemicals,Promotions,
Nestlé,3.7,FMCG,Salary,"Promotions, Work Life Balance, Work Satisfaction"
Exide Industries,3.4,Auto Components,"Promotions, Company Culture, Work Satisfaction",
Shell,3.9,Oil & Gas,"Work Life Balance, Company Culture, Salary","Promotions, Job Security"
ZS,3.1,Management Consulting,"Work Life Balance, Work Satisfaction, Promotions",
Exl India,3.5,Logistics,Job Security,"Promotions, Salary, Work Satisfaction"
Star Health & Allied Insurance,3.5,Insurance,"Promotions, Company Culture, Work Satisfaction",
KPMG Global Services,3.4,Management Consulting,"Promotions, Work Satisfaction, Salary",
Flex,3.9,Electronics Manufacturing,"Company Culture, Work Life Balance, Work Satisfaction",Promotions
Micro Labs,3.6,Pharma,Job Security,"Promotions, Salary, Company Culture"
TVS Supply Chain Solutions,3.8,Logistics,"Promotions, Salary",
Whitehat jr,3.3,EdTech,"Job Security, Promotions, Company Culture",
ElasticRun,3.6,Logistics,Salary,"Job Security, Promotions, Work Satisfaction"
Physicswallah,3.6,EdTech,"Promotions, Job Security, Company Culture",
Capita,3.5,BPO,"Promotions, Salary, Job Security",
Foxconn,3.8,Electronics Manufacturing,Job Security,Promotions
KFintech,3.4,Financial Services,"Promotions, Salary, Skill Development",
G4S,4.0,Law Enforcement & Security,"Work Life Balance, Job Security, Salary",Promotions
Ajanta Pharma,3.9,Pharma,Job Security,Promotions
Voltas,4.0,Consumer Electronics & Appliances,"Job Security, Work Life Balance, Company Culture",Promotions
Blue Star,4.1,Consumer Electronics & Appliances,"Company Culture, Skill Development, Salary",Promotions
Sonalika Tractors,3.5,Automobile,"Promotions, Company Culture, Work Satisfaction",
Care Health Insurance,3.5,Insurance,"Promotions, Salary, Company Culture",
Movate,3.1,IT Services & Consulting,"Promotions, Salary, Company Culture",
Gallagher,3.6,Insurance,"Work Life Balance, Company Culture, Job Security","Promotions, Salary"
BlackBuck,3.7,Internet,"Promotions, Job Security",
Photon Interactive,4.1,IT Services & Consulting,"Skill Development, Salary, Company Culture",
NoBroker,3.0,Internet,"Job Security, Promotions, Work Satisfaction",
Tata Advanced Systems,3.7,Defence & Aerospace,Job Security,"Promotions, Salary"
DBS Bank,3.7,Banking,Salary,"Promotions, Work Satisfaction"
ACT Fibernet,3.8,Telecom,"Company Culture, Job Security",Promotions
Adani Power,3.7,Power,Promotions,
Domino's Pizza,3.9,Hospitality,"Skill Development, Salary",
